id,brand,model,variant,reason
9609,BMW,X,X1,no candidate match
110334,TOYOTA,VIOS,E,low match score
52320,TOYOTA,VIOS,G,low match score
52424,TOYOTA,VIOS,E,low match score
51576,TOYOTA,VIOS,G,low match score
6144,BMW,2 SERIES,218I,no candidate match
6143,BMW,5 SERIES,530I,no candidate match
52499,TOYOTA,COROLLA ALTIS,G,low match score
52628,TOYOTA,INNOVA,E,low match score
6139,BMW,3 SERIES,318I,no candidate match
110339,TOYOTA,AVANZA,,missing cleaned source data
6148,BMW,3 SERIES,330E,no candidate match
52948,TOYOTA,FJ CRUISER,,missing cleaned source data
100295,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
59895,TOYOTA,LAND CRUISER,AX,low match score
59893,TOYOTA,VIOS,J,low match score
51593,TOYOTA,CAMRY,V,low match score
52797,TOYOTA,VELOZ,,missing cleaned source data
6140,BMW,2 SERIES,218I,no candidate match
52896,TOYOTA,C-HR,,missing cleaned source data
6176,BMW,Z,Z4,no candidate match
42682,MERCEDES-BENZ,GLC-CLASS,GLC300,no candidate match
52894,TOYOTA,VIOS,GX,low match score
